Name,Ticker,<date>,<open>,<high>,<low>,<close>,<vol>
Bellicum Pharma Comm,BLCM,20200911,5.64,5.8399,5.5,5.66,17800
Reality Shares Nasdaq Nextgen Economy ETF,BLCN,20200911,34.44,34.44,33.17,33.47,69000
Bluecity Holdings Limited ADR,BLCT,20200911,11.12,11.37,11.01,11.05,31300
Ballard Power Sys,BLDP,20200911,14.07,14.13,13.66,13.8,2841400
Builders Firstsource,BLDR,20200911,31.38,32.1,31.15,31.9,3014700
Biolife Solutions,BLFS,20200911,23.68,24.7,23.61,23.77,224700
Berkeley Lights Inc,BLI,20200911,59.75,60.72,58,58.7,128700
Bridgeline Digital,BLIN,20200911,1.84,1.875,1.77,1.81,59500
Blackbaud Inc,BLKB,20200911,58.46,58.59,56.22,57.25,411100
Bloomin' Brands Inc,BLMN,20200911,16.58,16.73,15.98,16.29,4343300
Blink Charging Company,BLNK,20200911,6.37,6.42,5.96,6.06,1146300
Blink Charging Co. WT,BLNKW,20200911,3.39,3.39,2.91,3.01,41600
Bellerophon Ther Com,BLPH,20200911,10.23,10.23,9.7278,9.86,31000
Biolinerx Ltd,BLRX,20200911,1.69,1.69,1.6,1.65,113500
Bellus Health Inc,BLU,20200911,2.39,2.41,2.29,2.32,1387900
Bluebird Bio,BLUE,20200911,55.12,55.98,52.82,53.18,592300
Bmc Stock Holdings,BMCH,20200911,40.82,41.66,40.6,41.4,719700
Dorsey Wright MLP Index ETN,BMLP,20200911,28.92,28.92,28.72,28.779,2200
Biomerica Inc,BMRA,20200911,6.83,6.93,6.52,6.63,180100
Bank of Marin Bancrp,BMRC,20200911,30.28,30.62,29.72,30.06,30300
Biomarin Pharmaceuticals,BMRN,20200911,72.6,73.24,71.35,72.05,2277300
Bryn Mawr Bank Corp,BMTC,20200911,26.78,26.89,26.5,26.63,55200
Total Bond Market ETF Vanguard,BND,20200911,88.43,88.46,88.35,88.41,5301300
Total World Bond Vanguard ETF,BNDW,20200911,81.67,81.84,81.67,81.8202,21900
Total Intl Bond ETF Vanguard,BNDX,20200911,58.04,58.1,58.02,58.07,2460600
Benefitfocus,BNFT,20200911,10.65,10.66,10.02,10.17,321600
Bionano Genomics Inc,BNGO,20200911,0.54,0.54,0.5055,0.5174,2688800
Bionano Genomics Inc WT,BNGOW,20200911,0.205,0.205,0.1567,0.1567,32300
Burning Rock Biotech Limited ADR,BNR,20200911,20.74,20.74,19.89,20.08,67900
Bonso Elec Intl IN,BNSO,20200911,3.7,3.85,3.7,3.81,9900
Benitec Biopharma Ltd,BNTC,20200911,5.73,6.29,5.52,5.745,2700
Biontech Se ADR,BNTX,20200911,61.45,65.28,61.05,65.13,2515200
Bank of Commerce Hld,BOCH,20200911,7.27,7.27,7.14,7.2,29700
Bok Financial Corp,BOKF,20200911,53.53,53.79,52.651,53.4,226800
Bok Financial Corp,BOKFL,20200911,25.89,25.997,25.73,25.86,4000
Boston Omaha Corp Cl A,BOMN,20200911,16.15,16.33,16.0333,16.27,79400
Dynamic Materials,BOOM,20200911,34.67,34.67,32.3035,33.28,83100
Bos Better Online,BOSC,20200911,2.35,2.36,2.35,2.36,1700
Bank of The Jame Fnl,BOTJ,20200911,10.1488,10.4,10.1488,10.39,500
G-X Robotics & Artificial Intel Thmtc ETF,BOTZ,20200911,27.1,27.21,26.75,26.88,1117100
Bowx Acquisition Corp,BOWXU,20200911,10.2,10.4,10.16,10.31,44900
